Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
743,4.41E-01,1.01E-01,22.8547
744,4.44E-01,1.02E-01,22.9179
745,4.45E-01,1.02E-01,22.9821
746,4.46E-01,1.03E-01,23.0473
747,4.47E-01,1.03E-01,23.1121
748,4.46E-01,1.03E-01,23.1779
749,4.44E-01,1.03E-01,23.2454
750,4.42E-01,1.03E-01,23.3138
751,4.42E-01,1.03E-01,23.3816
752,4.42E-01,1.04E-01,23.4499
753,4.43E-01,1.04E-01,23.5185
754,4.42E-01,1.04E-01,23.5869
755,4.42E-01,1.04E-01,23.6543
756,4.41E-01,1.04E-01,23.7205
757,4.33E-01,1.03E-01,23.7858
758,4.05E-01,9.62E-02,23.8507
759,3.22E-01,7.68E-02,23.9157
760,2.41E-01,5.77E-02,23.9806
761,1.96E-01,4.72E-02,24.0454
762,2.02E-01,4.88E-02,24.1101
763,2.32E-01,5.61E-02,24.1748
764,2.53E-01,6.14E-02,24.2399
765,2.85E-01,6.92E-02,24.3054
766,3.29E-01,8.02E-02,24.3704
767,3.70E-01,9.04E-02,24.4345
768,3.97E-01,9.72E-02,24.4989
769,4.12E-01,1.01E-01,24.5633
770,4.19E-01,1.03E-01,24.6278
771,4.22E-01,1.04E-01,24.6926
772,4.24E-01,1.05E-01,24.7567
773,4.24E-01,1.05E-01,24.8201
774,4.24E-01,1.05E-01,24.8835
775,4.24E-01,1.06E-01,24.9457
776,4.24E-01,1.06E-01,25.0059
777,4.24E-01,1.06E-01,25.0652
778,4.23E-01,1.06E-01,25.1258
779,4.22E-01,1.06E-01,25.1881
780,4.22E-01,1.07E-01,25.2506
781,4.22E-01,1.07E-01,25.3128
782,4.21E-01,1.07E-01,25.3763
783,4.19E-01,1.07E-01,25.4405
784,4.17E-01,1.06E-01,25.5048
785,4.16E-01,1.06E-01,25.5688
786,4.12E-01,1.06E-01,25.633
787,4.07E-01,1.04E-01,25.6967
788,4.00E-01,1.03E-01,25.7598
789,3.94E-01,1.02E-01,25.8226
790,3.90E-01,1.01E-01,25.8857
791,3.88E-01,1.01E-01,25.9492
792,3.88E-01,1.01E-01,26.0129
793,3.88E-01,1.01E-01,26.0764
794,3.88E-01,1.01E-01,26.1385
795,3.86E-01,1.01E-01,26.2002
796,3.85E-01,1.01E-01,26.2615
797,3.85E-01,1.01E-01,26.3227
798,3.86E-01,1.02E-01,26.3837
799,3.86E-01,1.02E-01,26.4439
800,3.81E-01,1.01E-01,26.5041
801,3.77E-01,1.00E-01,26.5644
802,3.76E-01,1.00E-01,26.6255
803,3.76E-01,1.00E-01,26.688
804,3.76E-01,1.01E-01,26.7513
805,3.80E-01,1.02E-01,26.8125
806,3.84E-01,1.03E-01,26.8718
807,3.83E-01,1.03E-01,26.9313
808,3.79E-01,1.02E-01,26.9928
809,3.72E-01,1.00E-01,27.0544
810,3.64E-01,9.84E-02,27.1158
811,3.53E-01,9.59E-02,27.1768
812,3.36E-01,9.14E-02,27.2379
813,3.15E-01,8.59E-02,27.2993
814,2.93E-01,8.01E-02,27.3603
815,2.74E-01,7.49E-02,27.4216
816,2.64E-01,7.25E-02,27.482
817,2.62E-01,7.21E-02,27.5423
818,2.68E-01,7.38E-02,27.6029
819,2.81E-01,7.77E-02,27.6629
820,2.96E-01,8.20E-02,27.7228
821,2.98E-01,8.26E-02,27.7829
822,2.83E-01,7.86E-02,27.8421
