Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
556,4.29E-01,6.17E-02,14.3726
557,4.23E-01,6.12E-02,14.4391
558,4.19E-01,6.09E-02,14.5059
559,4.18E-01,6.09E-02,14.573
560,4.19E-01,6.14E-02,14.6393
561,4.22E-01,6.21E-02,14.7048
562,4.24E-01,6.27E-02,14.769
563,4.24E-01,6.29E-02,14.832
564,4.23E-01,6.30E-02,14.8943
565,4.21E-01,6.30E-02,14.956
566,4.20E-01,6.30E-02,15.0164
567,4.19E-01,6.31E-02,15.076
568,4.16E-01,6.30E-02,15.135
569,4.13E-01,6.28E-02,15.1937
570,4.11E-01,6.27E-02,15.2518
571,4.13E-01,6.32E-02,15.3095
572,4.17E-01,6.40E-02,15.367
573,4.21E-01,6.49E-02,15.4243
574,4.20E-01,6.50E-02,15.482
575,4.17E-01,6.49E-02,15.5403
576,4.16E-01,6.49E-02,15.5993
577,4.15E-01,6.50E-02,15.6588
578,4.15E-01,6.52E-02,15.7186
579,4.16E-01,6.56E-02,15.7788
580,4.19E-01,6.64E-02,15.8392
581,4.23E-01,6.72E-02,15.8998
582,4.25E-01,6.78E-02,15.9609
583,4.26E-01,6.82E-02,16.0224
584,4.23E-01,6.81E-02,16.0847
585,4.19E-01,6.76E-02,16.1473
586,4.15E-01,6.72E-02,16.2105
587,4.05E-01,6.59E-02,16.2743
588,3.92E-01,6.41E-02,16.3383
589,3.79E-01,6.22E-02,16.4025
590,3.79E-01,6.25E-02,16.4668
591,3.85E-01,6.38E-02,16.531
592,3.93E-01,6.53E-02,16.5952
593,3.94E-01,6.56E-02,16.6592
594,3.94E-01,6.59E-02,16.7229
595,3.95E-01,6.63E-02,16.7864
596,3.98E-01,6.70E-02,16.8498
597,4.00E-01,6.76E-02,16.9129
598,4.01E-01,6.81E-02,16.976
599,4.02E-01,6.85E-02,17.0383
600,4.02E-01,6.87E-02,17.0996
601,4.02E-01,6.90E-02,17.1608
602,4.03E-01,6.94E-02,17.2216
603,4.06E-01,7.02E-02,17.2821
604,4.09E-01,7.09E-02,17.3424
605,4.09E-01,7.12E-02,17.4028
606,4.08E-01,7.12E-02,17.4634
607,4.06E-01,7.12E-02,17.5242
608,4.04E-01,7.11E-02,17.5857
609,4.02E-01,7.09E-02,17.647
610,4.00E-01,7.09E-02,17.7082
611,3.99E-01,7.09E-02,17.7697
612,3.98E-01,7.09E-02,17.8318
613,3.96E-01,7.08E-02,17.8944
614,3.93E-01,7.06E-02,17.9577
615,3.91E-01,7.04E-02,18.0217
616,3.89E-01,7.03E-02,18.0866
617,3.90E-01,7.07E-02,18.1523
618,3.92E-01,7.15E-02,18.219
619,3.96E-01,7.25E-02,18.2869
620,3.98E-01,7.30E-02,18.3558
621,3.97E-01,7.31E-02,18.4255
622,3.94E-01,7.29E-02,18.4957
623,3.91E-01,7.25E-02,18.5663
624,3.88E-01,7.22E-02,18.6375
625,3.86E-01,7.21E-02,18.7091
626,3.85E-01,7.22E-02,18.7809
627,3.83E-01,7.23E-02,18.8528
628,3.82E-01,7.23E-02,18.9248
629,3.80E-01,7.22E-02,18.9967
630,3.79E-01,7.24E-02,19.0682
631,3.80E-01,7.27E-02,19.1399
632,3.81E-01,7.32E-02,19.2116
633,3.82E-01,7.38E-02,19.283
634,3.83E-01,7.42E-02,19.3547
635,3.84E-01,7.46E-02,19.4265
636,3.85E-01,7.51E-02,19.4983
637,3.86E-01,7.55E-02,19.5702
638,3.86E-01,7.58E-02,19.6417
639,3.85E-01,7.58E-02,19.7127
640,3.82E-01,7.55E-02,19.783
641,3.80E-01,7.55E-02,19.8537
642,3.81E-01,7.58E-02,19.9244
643,3.82E-01,7.62E-02,19.9952
644,3.80E-01,7.62E-02,20.0667
645,3.76E-01,7.57E-02,20.1385
646,3.70E-01,7.48E-02,20.2102
647,3.65E-01,7.41E-02,20.2815
648,3.61E-01,7.36E-02,20.3532
649,3.61E-01,7.37E-02,20.4253
650,3.63E-01,7.44E-02,20.4979
651,3.66E-01,7.54E-02,20.5708
652,3.69E-01,7.61E-02,20.6442
653,3.68E-01,7.62E-02,20.718
654,3.62E-01,7.53E-02,20.7918
655,3.49E-01,7.28E-02,20.8657
656,3.38E-01,7.08E-02,20.9399
657,3.40E-01,7.15E-02,21.0143
658,3.55E-01,7.50E-02,21.0889
659,3.68E-01,7.78E-02,21.1635
660,3.73E-01,7.92E-02,21.2384
661,3.77E-01,8.02E-02,21.3136
662,3.78E-01,8.07E-02,21.3893
663,3.77E-01,8.10E-02,21.4658
664,3.76E-01,8.11E-02,21.5437
665,3.77E-01,8.14E-02,21.6233
666,3.76E-01,8.17E-02,21.7036
667,3.76E-01,8.19E-02,21.7851
668,3.76E-01,8.22E-02,21.8681
669,3.76E-01,8.25E-02,21.9522
670,3.75E-01,8.26E-02,22.0368
671,3.73E-01,8.25E-02,22.1229
672,3.72E-01,8.27E-02,22.2109
673,3.73E-01,8.31E-02,22.3004
674,3.73E-01,8.35E-02,22.391
675,3.73E-01,8.38E-02,22.4828
676,3.73E-01,8.41E-02,22.5755
677,3.72E-01,8.44E-02,22.6683
678,3.72E-01,8.47E-02,22.7626
679,3.71E-01,8.50E-02,22.8585
680,3.71E-01,8.52E-02,22.9557
681,3.70E-01,8.54E-02,23.0537
682,3.69E-01,8.55E-02,23.1535
683,3.67E-01,8.54E-02,23.255
684,3.64E-01,8.51E-02,23.3583
685,3.55E-01,8.34E-02,23.4644
686,3.36E-01,7.93E-02,23.5733
687,3.17E-01,7.52E-02,23.6847
688,3.10E-01,7.39E-02,23.7989
689,3.15E-01,7.52E-02,23.9156
690,3.23E-01,7.75E-02,24.0355
691,3.28E-01,7.90E-02,24.1585
692,3.27E-01,7.94E-02,24.2846
693,3.23E-01,7.89E-02,24.4141
694,3.20E-01,7.84E-02,24.5462
695,3.23E-01,7.98E-02,24.6807
696,3.31E-01,8.20E-02,24.8177
697,3.37E-01,8.41E-02,24.9578
698,3.37E-01,8.44E-02,25.1004
699,3.31E-01,8.36E-02,25.2448
700,3.25E-01,8.27E-02,25.3913
701,3.22E-01,8.25E-02,25.54
702,3.24E-01,8.33E-02,25.6903
703,3.28E-01,8.48E-02,25.8429
704,3.32E-01,8.65E-02,25.9992
705,3.35E-01,8.77E-02,26.1594
706,3.37E-01,8.86E-02,26.321
707,3.38E-01,8.95E-02,26.482
708,3.39E-01,9.04E-02,26.6428
709,3.40E-01,9.11E-02,26.8048
710,3.41E-01,9.18E-02,26.968
711,3.41E-01,9.24E-02,27.132
712,3.40E-01,9.27E-02,27.2978
713,3.38E-01,9.27E-02,27.4638
714,3.35E-01,9.24E-02,27.6296
715,3.23E-01,8.97E-02,27.7955
716,3.00E-01,8.40E-02,27.9626
717,2.72E-01,7.64E-02,28.1306
718,2.45E-01,6.93E-02,28.2987
719,2.34E-01,6.67E-02,28.4667
720,2.43E-01,6.98E-02,28.6333
721,2.64E-01,7.61E-02,28.7991
722,2.78E-01,8.04E-02,28.9637
723,2.75E-01,8.00E-02,29.1265
724,2.61E-01,7.65E-02,29.288
725,2.54E-01,7.49E-02,29.4464
726,2.54E-01,7.53E-02,29.6027
727,2.56E-01,7.62E-02,29.7568
728,2.57E-01,7.70E-02,29.9071
729,2.58E-01,7.76E-02,30.0542
730,2.61E-01,7.88E-02,30.1985
731,2.68E-01,8.14E-02,30.3401
732,2.81E-01,8.58E-02,30.4784
733,2.97E-01,9.10E-02,30.6141
734,3.06E-01,9.42E-02,30.7469
735,3.10E-01,9.56E-02,30.8772
736,3.10E-01,9.61E-02,31.0062
737,3.11E-01,9.69E-02,31.1338
738,3.14E-01,9.82E-02,31.2594
739,3.16E-01,9.92E-02,31.3819
740,3.18E-01,1.00E-01,31.5008
741,3.22E-01,1.02E-01,31.6172
742,3.24E-01,1.03E-01,31.7317
743,3.27E-01,1.04E-01,31.8408
744,3.30E-01,1.05E-01,31.9465
745,3.31E-01,1.06E-01,32.0541
746,3.31E-01,1.07E-01,32.1648
747,3.31E-01,1.07E-01,32.2783
748,3.31E-01,1.07E-01,32.3957
749,3.30E-01,1.07E-01,32.5169
750,3.28E-01,1.07E-01,32.6299
751,3.27E-01,1.07E-01,32.7423
752,3.28E-01,1.08E-01,32.855
753,3.28E-01,1.08E-01,32.9691
754,3.28E-01,1.08E-01,33.0962
755,3.27E-01,1.09E-01,33.2135
756,3.27E-01,1.09E-01,33.3357
